x-coordinate,y-coordinate,Similarity_score
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_56.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_5.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_175.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_163.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_17.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_40.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_134.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_118.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_83.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_95.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_159.json,0.9983329670084852
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_207.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_196.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_179.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_9.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_180.json,0.9983329670084852
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_138.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_211.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_143.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_37.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_60.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_114.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_102.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_76.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_99.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_21.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_155.json,0.9983329670084852
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_20.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_154.json,0.9983329670084852
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_103.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_77.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_98.json,0.9983329670084852
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_61.json,0.999965604417034
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_115.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_142.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_36.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_210.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_139.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_181.json,1.0
/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_122.json,/Users/alberli/Desktop/USC/DSCI 550 DS at Scale/DSCI-550/hw1/json files/file_8.json,1.0
