,Authors,Title,Citation,DOI,Year,Month,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,"SUM 
Completed",First Author,URL,Author count,ResearchGate_Link,university/institution,Location,Citations,Research Interest Score,index
0,"Inka Regine Weingaertner, Sarah Koutnik, Hermann Ammer",Chronic Morphine Treatment Attenuates Cell Growth of Human BT474 Breast Cancer Cells by Rearrangement of the ErbB Signalling Network,"PLOS One, January 2013 | Volume 8 | Issue 1 | e53510",10.1371/journal.pone.0053510,2013,1-Jan,1.0,,1.0,,"duplicated blot, shifted microscopy",1,9/15/2010,,1.0,,1,Inka Regine Weingaertner,https://pubmed.ncbi.nlm.nih.gov//27078851/,3,https://www.researchgate.net/publication/234106266_Chronic_Morphine_Treatment_Attenuates_Cell_Growth_of_Human_BT474_Breast_Cancer_Cells_by_Rearrangement_of_the_ErbB_Signalling_Network,Ludwig-Maximilians-University of Munich,Germany,14,9.4,0.934
1,"Jessica M. Esparza, Eileen O_¯_¿_oole, Linya Li, Thomas H. Giddings Jr., Benjamin Kozak, Alison J. Albee, Susan K. Dutcher",Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii,"PLOS ONE, January 2013 | Volume 8 | Issue 1 | e53940",10.1371/journal.pone.0053940,2013,1-Jan,,1.0,,,duplicated colony strip,1,1/15/2016,,1.0,,1,Jessica M. Esparza,https://pubmed.ncbi.nlm.nih.gov//26771461/,7,https://www.researchgate.net/publication/234134954_Katanin_Localization_Requires_Triplet_Microtubules_in_Chlamydomonas_reinhardtii,University of Colorado Boulder,United States,17,7.8,0.917
2,"Sreedevi Avasarala, Fangfang Zhang, Guangliang Liu, Ruixue Wang, Steven D. London, Lucille London",Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Viral- induced Acute Respiratory Distress Syndrome,"PLOS ONE, February 2013 | Volume 8 | Issue 2 | e57285, doi:10.1371/journal.pone.0057285",10.1371/journal.pone.0057285,2013,2-Feb,,,1.0,,reuse of one lane in different blot experiment,1,4/15/2008,,1.0,,1,Sreedevi Avasarala,https://pubmed.ncbi.nlm.nih.gov//26241041/,6,https://www.researchgate.net/publication/235718640_Erratum_Correction_Curcumin_Modulates_the_Inflammatory_Response_and_Inhibits_Subsequent_Fibrosis_in_a_Mouse_Model_of_Viral-Induced_Acute_Respiratory_Distress_Syndrome_PLoS_ONE_2015_108_e0134982,Stony Brook University,United States,104,53.7,0.917
3,"Rounak Nassirpour, Pramod P. Mehta, Sangita M. Baxi, Min-Jean Yin ",miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells,"PLOS ONE, April 2013 | Volume 8 | Issue 4 | e62170",10.1371/journal.pone.0062170,2013,4-Apr,1.0,,,1,Duplicated / mirrored bands in blot,1,10/17/2004,1.0,,,1,Rounak Nassirpour,https://pubmed.ncbi.nlm.nih.gov//23637992/,4,https://www.researchgate.net/publication/236604384_miR-221_Promotes_Tumorigenesis_in_Human_Triple_Negative_Breast_Cancer_Cells,Pfizer,United States,84,45,0.917
4,"Jianuo Liu,  Peng Xu, Cory Collins, Han Liu, Jingdong Zhang, James P. Keblesh, Huangui Xiong",HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity,"PLOS ONE, May 2013 | Volume 8 | Issue 5 | e64904, doi:10.1371/journal.pone.0064904",10.1371/journal.pone.0064904,2013,5-May,,1.0,,,multiple duplicated microscopy images,1,9/19/2014,,1.0,,1,Jianuo Liu,https://pubmed.ncbi.nlm.nih.gov//22258405/,7,https://www.researchgate.net/publication/237057984_HIV-1_Tat_Protein_Increases_Microglial_Outward_K_Current_and_Resultant_Neurotoxic_Activity,University of Nebraska Medical Center,United States,22,13.8,0.917
5,"Yang Wang, Shijie Sheng, Jianzhi Zhang, Sijana Dzinic, Shaolei Li, Fang Fang, Nan Wu, Qingfeng Zheng, Yue Yang",Elevated Maspin Expression Is Associated with Better Overall Survival in Esophageal Squamous Cell Carcinoma (ESCC),"PLOS ONE, May 2013 | Volume 8 | Issue 5 | e63581",10.1371/journal.pone.0063581,2013,5-May,,,1.0,,part of blot panel reused to represent different protein,1,,,1.0,,1,Yang Wang,https://pubmed.ncbi.nlm.nih.gov//25950810/,9,https://www.researchgate.net/publication/236959534_Elevated_Maspin_Expression_Is_Associated_with_Better_Overall_Survival_in_Esophageal_Squamous_Cell_Carcinoma_ESCC,Huazhong University of Science and Technology,China,23,10.5,0.717
6,"Elizabeth Ngoc Hoa Tran, Matthew Thomas Doyle, Renato Morona",LPS Unmasking of Shigella flexneri Reveals Preferential Localisation of Tagged Outer Membrane Protease IcsP to Septa and New Poles,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e70508, doi:10.1371/journal.pone.0070508",10.1371/journal.pone.0070508,2013,7-Jul,1.0,,,1,"duplicated lanes within same blot, or in different blots, duplicated microscopy panel",1,10/16/2014,,1.0,,1,Elizabeth Ngoc Hoa Tran,https://pubmed.ncbi.nlm.nih.gov//12686635/,3,https://www.researchgate.net/publication/255737281_LPS_Unmasking_of_Shigella_flexneri_Reveals_Preferential_Localisation_of_Tagged_Outer_Membrane_Protease_IcsP_to_Septa_and_New_Poles/fulltext/023307d40cf292cfa7c0545e/LPS-Unmasking-of-Shigella-flexneri-Reveals-Preferential-Localisation-of-Tagged-Outer-Membrane-Protease-IcsP-to-Septa-and-New-Poles.pdf,,Location information not found,16,6.7,
7,"Fabio Sallustio, Grazia Serino, Vincenzo Costantino, Claudia Curci, Sharon N. Cox, Giuseppe DePalma, Francesco P. Schena","miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells","PLOS ONE, July 2013 | Volume 8 | Issue 7 | e68296, doi:10.1371/journal.pone.0068296",10.1371/journal.pone.0068296,2013,7-Jul,,,1.0,,"overlapping microscopy images,but rotated/stretched",1,8/15/2005,,1.0,,1,Fabio Sallustio,https://pubmed.ncbi.nlm.nih.gov//25955157/,7,https://www.researchgate.net/publication/249967201_Correction_miR-1915_and_miR-1225-5p_Regulate_the_Expression_of_CD133_PAX2_and_TLR2_in_Adult_Renal_Progenitor_Cells,Università degli Studi di Bari Aldo Moro,Italy,45,18.6,0.882
8,"Jia Ma, Qing Zhang, Sulian Chen, Binbin Fang, Qingling Yang, Changjie Chen, Lucio Miele, Fazlul H. Sarkar, Jun Xia, Zhiwei Wang",Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69485,  doi: 10.1371/journal.pone.0069485",10.1371/journal.pone.0069485,2013,7-Jul,,,,1,"multiple overlapping microscopy images, groups of cells visible in multiple images",1,11/25/2014,,1.0,,1,Jia Ma,https://pubmed.ncbi.nlm.nih.gov//30278078/,10,https://www.researchgate.net/publication/255695206_Mitochondrial_Dysfunction_Promotes_Breast_Cancer_Cell_Migration_and_Invasion_through_HIF1_Accumulation_via_Increased_Production_of_Reactive_Oxygen_Species?_sg=iCMyymD8KfaenCKLVmhEZwV3y6IlvzAEL0qFMJ1wOvDdSvI1mXpwomIhBF7bmTO8tbE_LaOM8JEISs0,,Location information not found,61,35.8,
9,"Yael Friedman-Levi, Michal Mizrahi, Kati Frid, Orli Binyamin, Ruth Gabizon ","PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Genetic Prion Disease","PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69583, doi: 10.1371/journal.pone.0069583",10.1371/journal.pone.0069583,2013,7-Jul,,,,1,"possible duplicated lanes within same blot, patch in other blot",1,7/20/2015,,1.0,,1,Yael Friedman-Levi,https://pubmed.ncbi.nlm.nih.gov//26193641/,5,https://www.researchgate.net/publication/255695726_PrPST_a_Soluble_Protease_Resistant_and_Truncated_PrP_Form_Features_in_the_Pathogenesis_of_a_Genetic_Prion_Disease,Hadassah Medical Center,Israel,19,6.9,0.904
10,"Yan Zhang, Lei Shan, Yaping Hua, Dan Wang, Huawu Zeng, Runhui Liu, Weidong Zhang, Zhenlin Hu",Baicalein Selectively Induces Apoptosis in Activated Lymphocytes and Ameliorates Concanavalin A-Induced Hepatitis in Mice,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69592",10.1371/journal.pone.0069592,2013,7-Jul,,,1.0,,two sets of duplicated facs panels but different percentages gated points,1,1/26/2015,,1.0,,1,Yan Zhang,https://pubmed.ncbi.nlm.nih.gov//23894507/,8,https://www.researchgate.net/publication/253336505_Baicalein_Selectively_Induces_Apoptosis_in_Activated_Lymphocytes_and_Ameliorates_Concanavalin_A-Induced_Hepatitis_in_Mice,Shandong Academy of Agricultural Sciences,China,39,21,0.717
11,"Zhongpu Chen, Xiaodong Pan, Yuyu Yao, Fengdi Yan, Long Chen, Rong Huang, Genshan Ma",Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69134, doi:10.1371/journal.pone.0069134",10.1371/journal.pone.0069134,2013,7-Jul,,,1.0,,overlapping microscopy images,1,7/23/2014,,1.0,,1,Zhongpu Chen,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0069134,7,https://www.researchgate.net/publication/253336545_Epigenetic_Regulation_of_Cardiac_Progenitor_Cells_Marker_c-kit_by_Stromal_Cell_Derived_Factor-1a?_sg=j3BIgOwBOybhCf9ryJBVX3VwMRJjsCLuENxHemp8y6kHOq9z5_qnoCbs_FVh5K0ZrUu9PMjdw0qTF8k,,Location information not found,15,7.6,
12,"Akrem Abdulsid, Alexander Fletcher, Fiona Lyall",Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71127",10.1371/journal.pone.0071127,2013,8-Aug,,,,1,reuse of 2 bands multiple times to create blot panel,1,,1.0,,,1,Akrem Abdulsid,https://pubmed.ncbi.nlm.nih.gov//29933401/,3,https://www.researchgate.net/publication/235402832_Heat_Shock_Protein_70_Expression_Is_Spatially_Distributed_in_Human_Placenta_and_Selectively_Upregulated_during_Labor_and_Preeclampsia,University of Glasgow,United Kingdom,8,3.7,0.922
